
Variable,Value
cmax,252.0
x_1_1,1.0
x_2_2,1.0
x_3_1,1.0
x_4_1,1.0
x_5_1,1.0
t_1_1_1,0.0
t_1_1_2,29.0
t_1_1_3,176.0
t_1_2_1,0.0
t_1_2_2,0.0
t_1_2_3,0.0
t_1_2_4,0.0
t_1_2_5,0.0
t_1_2_6,0.0
t_2_1_1,0.0
t_2_1_2,0.0
t_2_1_3,0.0
t_2_1_4,0.0
t_2_1_5,0.0
t_2_2_1,0.0
t_2_2_2,81.0
t_2_2_3,180.0
t_3_1_1,58.0
t_3_1_2,116.0
t_3_2_1,0.0
t_3_2_2,0.0
t_3_2_3,0.0
t_3_2_4,0.0
t_3_2_5,0.0
t_3_2_6,0.0
t_4_1_1,0.0
t_4_1_2,81.0
t_4_2_1,0.0
t_4_2_2,0.0
t_4_2_3,0.0
t_5_1_1,0.0
t_5_1_2,58.0
t_5_1_3,71.0
t_5_1_4,160.0
t_5_2_1,0.0
t_5_2_2,0.0
t_5_2_3,0.0
t_5_2_4,0.0
t_5_2_5,0.0
a_1_1_1_5,1.0
a_1_1_2_1,1.0
a_1_1_3_4,1.0
a_2_2_1_2,1.0
a_2_2_2_3,1.0
a_2_2_3_1,1.0
a_3_1_1_4,1.0
a_3_1_2_5,1.0
a_4_1_1_3,1.0
a_4_1_2_2,1.0
a_5_1_1_4,1.0
a_5_1_2_2,1.0
a_5_1_3_1,1.0
a_5_1_4_2,1.0
B_1_1_1_3_1_2,1.0
B_1_1_2_2_2_3,1.0
B_1_1_2_3_1_1,1.0
B_1_1_2_5_1_1,1.0
B_1_1_2_5_1_3,1.0
B_1_2_5_3_1_2,1.0
B_2_2_1_4_1_1,1.0
B_2_2_1_4_1_2,1.0
B_2_2_1_5_1_2,1.0
B_2_2_1_5_1_4,1.0
B_2_2_1_5_2_4,1.0
B_3_1_1_4_1_1,1.0
B_4_1_1_5_1_1,1.0
B_4_1_2_5_1_4,1.0
B_4_1_2_5_2_4,1.0
p_1_1_1_1,18
p_1_1_1_5,29
p_1_1_1_2,20
p_1_1_2_1,30
p_1_1_2_3,86
p_1_1_3_3,48
p_1_1_3_4,76
p_1_2_1_2,7
p_1_2_1_1,17
p_1_2_2_2,5
p_1_2_2_1,5
p_1_2_2_3,7
p_1_2_3_5,44
p_1_2_3_2,101
p_1_2_4_1,99
p_1_2_4_3,124
p_1_2_5_5,34
p_1_2_6_1,43
p_1_2_6_4,123
p_2_1_1_1,47
p_2_1_1_5,125
p_2_1_2_1,52
p_2_1_2_5,106
p_2_1_3_3,38
p_2_1_3_4,80
p_2_1_4_1,14
p_2_1_4_3,23
p_2_1_5_2,17
p_2_1_5_5,23
p_2_2_1_2,38
p_2_2_1_4,38
p_2_2_2_3,99
p_2_2_2_4,261
p_2_2_3_1,7
p_3_1_1_4,58
p_3_1_1_1,89
p_3_1_1_3,64
p_3_1_2_5,34
p_3_1_2_2,50
p_3_1_2_3,63
p_3_2_1_4,40
p_3_2_1_1,119
p_3_2_2_2,29
p_3_2_2_1,65
p_3_2_2_3,35
p_3_2_3_5,79
p_3_2_3_3,120
p_3_2_3_4,223
p_3_2_4_2,35
p_3_2_4_1,73
p_3_2_4_3,36
p_3_2_5_1,38
p_3_2_5_4,90
p_3_2_5_3,46
p_3_2_6_4,85
p_3_2_6_3,150
p_4_1_1_3,81
p_4_1_1_2,149
p_4_1_1_4,177
p_4_1_2_2,62
p_4_1_2_1,147
p_4_1_2_4,118
p_4_2_1_4,20
p_4_2_1_2,44
p_4_2_1_5,57
p_4_2_2_1,62
p_4_2_2_5,101
p_4_2_2_2,97
p_4_2_3_4,93
p_4_2_3_2,147
p_4_2_3_1,189
p_5_1_1_4,58
p_5_1_1_3,86
p_5_1_1_1,130
p_5_1_2_2,13
p_5_1_2_4,35
p_5_1_2_1,17
p_5_1_3_1,89
p_5_1_3_4,260
p_5_1_4_2,92
p_5_1_4_4,228
p_5_1_4_3,109
p_5_2_1_3,24
p_5_2_1_4,64
p_5_2_1_1,58
p_5_2_2_3,49
p_5_2_2_2,129
p_5_2_3_5,95
p_5_2_3_1,270
p_5_2_3_2,122
p_5_2_4_2,62
p_5_2_4_1,131
p_5_2_4_3,129
p_5_2_5_1,42
p_5_2_5_5,124
p_5_2_5_2,89
NUM_JOBS,5
NUM_ALTERNATIVES,"[2, 2, 2, 2, 2]"
NUM_MACHINES,5
