
Variable,Value
cmax,634.0
t_1_1,144.99999999999952
t_1_2,244.9999999999992
t_1_3,454.99999999999545
t_2_1,86.99999999999852
t_2_2,332.999999999993
t_2_3,398.9999999999921
t_3_1,0.0
t_3_2,87.0
t_3_3,237.99999999999898
t_4_1,0.0
t_4_2,65.0
t_4_3,244.99999999999983
t_5_1,209.9999999999957
t_5_2,389.9999999999967
t_5_3,454.99999999999613
t_6_1,64.99999999999855
t_6_2,368.9999999999971
t_6_3,513.9999999999962
t_7_1,0.0
t_7_2,244.9999999999984
t_7_3,368.99999999999807
t_8_1,0.0
t_8_2,245.0
t_8_3,469.0
a_1_1_2,1.0
a_1_2_6,1.0
a_1_3_3,1.0
a_2_1_0,1.0
a_2_2_1,1.0
a_2_3_6,1.0
a_3_1_0,1.0
a_3_2_6,1.0
a_3_3_4,1.0
a_4_1_1,1.0
a_4_2_4,1.0
a_4_3_3,1.0
a_5_1_1,1.0
a_5_2_3,1.0
a_5_3_1,1.0
a_6_1_1,1.0
a_6_2_2,1.0
a_6_3_4,1.0
a_7_1_2,1.0
a_7_2_2,1.0
a_7_3_4,1.0
a_8_1_3,1.0
a_8_2_5,1.0
a_8_3_5,1.0
B_1_1_4_1,1.0
B_1_1_6_2,1.0
B_1_1_7_2,1.0
B_1_2_2_3,1.0
B_1_2_6_3,1.0
B_1_2_7_3,1.0
B_1_2_8_3,1.0
B_1_3_6_3,1.0
B_1_3_7_3,1.0
B_1_3_8_2,1.0
B_1_3_8_3,1.0
B_2_1_5_1,1.0
B_2_1_8_1,1.0
B_2_2_5_3,1.0
B_2_3_7_3,1.0
B_3_1_4_1,1.0
B_3_1_5_1,1.0
B_3_1_5_3,1.0
B_3_2_6_3,1.0
B_3_2_7_3,1.0
B_3_2_8_3,1.0
B_3_3_6_2,1.0
B_3_3_6_3,1.0
B_3_3_7_3,1.0
B_3_3_8_3,1.0
B_4_1_5_1,1.0
B_4_1_5_3,1.0
B_4_1_6_1,1.0
B_4_2_6_3,1.0
B_4_2_7_3,1.0
B_4_2_8_2,1.0
B_4_2_8_3,1.0
B_4_3_5_2,1.0
B_4_3_6_3,1.0
B_5_2_8_2,1.0
B_5_3_7_3,1.0
B_5_3_8_2,1.0
B_5_3_8_3,1.0
B_6_1_7_1,1.0
B_6_2_7_3,1.0
B_6_2_8_2,1.0
B_6_2_8_3,1.0
B_6_3_8_3,1.0
B_7_2_8_2,1.0
p_1_1_0,247
p_1_1_1,223
p_1_1_2,100
p_1_2_3,140
p_1_2_1,130
p_1_2_6,123
p_1_3_3,150
p_1_3_4,160
p_1_3_6,200
p_2_1_0,214
p_2_1_2,150
p_2_2_2,87
p_2_2_1,66
p_2_3_4,178
p_2_3_5,95
p_2_3_6,150
p_3_1_0,87
p_3_1_1,62
p_3_2_6,145
p_3_2_2,180
p_3_2_3,105
p_3_3_3,190
p_3_3_4,100
p_3_3_5,153
p_4_1_0,87
p_4_1_1,65
p_4_2_2,250
p_4_2_4,173
p_4_3_3,145
p_4_3_5,136
p_5_1_1,123
p_5_1_2,145
p_5_1_0,128
p_5_2_6,86
p_5_2_3,65
p_5_2_4,47
p_5_3_4,110
p_5_3_5,85
p_5_3_1,100
p_6_1_1,145
p_6_1_2,320
p_6_1_3,154
p_6_2_3,150
p_6_2_2,123
p_6_2_4,192
p_6_3_4,120
p_6_3_5,240
p_6_3_6,180
p_7_1_2,145
p_7_1_1,157
p_7_2_2,124
p_7_2_4,168
p_7_3_4,145
p_7_3_5,165
p_7_3_6,178
p_8_1_3,245
p_8_1_2,257
p_8_2_5,224
p_8_2_4,268
p_8_3_4,145
p_8_3_5,165
p_8_3_6,178
Anzahl Jobs:,8
Anzahl Maschinen:,7
