
Variable,Value
cmax,91.0
t_1_1,0.0
t_1_2,13.0
t_1_3,24.0
t_1_4,36.0
t_1_5,51.0
t_2_1,25.0
t_2_2,36.0
t_2_3,46.0
t_2_4,62.0
t_2_5,76.0
t_3_1,0.0
t_3_2,14.0
t_3_3,26.0
t_3_4,43.0
t_3_5,54.0
t_4_1,14.0
t_4_2,39.0
t_4_3,53.0
t_4_4,63.0
t_4_5,76.0
t_5_1,0.0
t_5_2,10.0
t_5_3,23.0
t_5_4,33.0
t_5_5,43.0
t_6_1,10.0
t_6_2,29.0
t_6_3,39.0
t_6_4,53.0
t_6_5,65.0
t_7_1,18.0
t_7_2,34.0
t_7_3,45.0
t_7_4,59.0
t_7_5,80.0
t_8_1,0.0
t_8_2,18.0
t_8_3,34.0
t_8_4,45.0
t_8_5,57.0
t_9_1,13.0
t_9_2,25.0
t_9_3,37.0
t_9_4,56.0
t_9_5,67.0
t_10_1,29.0
t_10_2,48.0
t_10_3,59.0
t_10_4,70.0
t_10_5,80.0
a_1_1_3,1.0
a_1_2_6,1.0
a_1_3_10,1.0
a_1_4_7,1.0
a_1_5_18,1.0
a_2_1_3,1.0
a_2_2_5,1.0
a_2_3_15,1.0
a_2_4_5,1.0
a_2_5_19,1.0
a_3_1_2,1.0
a_3_2_9,1.0
a_3_3_8,1.0
a_3_4_11,1.0
a_3_5_17,1.0
a_4_1_2,1.0
a_4_2_6,1.0
a_4_3_12,1.0
a_4_4_12,1.0
a_4_5_17,1.0
a_5_1_0,1.0
a_5_2_10,1.0
a_5_3_5,1.0
a_5_4_11,1.0
a_5_5_19,1.0
a_6_1_0,1.0
a_6_2_15,1.0
a_6_3_9,1.0
a_6_4_6,1.0
a_6_5_18,1.0
a_7_1_1,1.0
a_7_2_12,1.0
a_7_3_14,1.0
a_7_4_8,1.0
a_7_5_16,1.0
a_8_1_1,1.0
a_8_2_14,1.0
a_8_3_14,1.0
a_8_4_8,1.0
a_8_5_19,1.0
a_9_1_3,1.0
a_9_2_13,1.0
a_9_3_10,1.0
a_9_4_7,1.0
a_9_5_16,1.0
a_10_1_0,1.0
a_10_2_4,1.0
a_10_3_13,1.0
a_10_4_15,1.0
a_10_5_18,1.0
B_1_1_2_1,1.0
B_1_1_4_1,1.0
B_1_1_5_1,1.0
B_1_1_6_1,1.0
B_1_1_9_1,1.0
B_1_1_10_1,1.0
B_1_2_4_2,1.0
B_1_2_6_2,1.0
B_1_2_6_3,1.0
B_1_2_6_4,1.0
B_1_2_7_4,1.0
B_1_3_2_4,1.0
B_1_3_3_2,1.0
B_1_3_3_3,1.0
B_1_3_4_2,1.0
B_1_3_5_4,1.0
B_1_3_8_4,1.0
B_1_3_9_3,1.0
B_1_3_9_4,1.0
B_1_4_4_4,1.0
B_1_4_8_4,1.0
B_1_4_9_4,1.0
B_1_4_10_2,1.0
B_1_5_2_5,1.0
B_1_5_3_5,1.0
B_1_5_5_5,1.0
B_1_5_6_5,1.0
B_1_5_7_5,1.0
B_1_5_8_5,1.0
B_1_5_10_5,1.0
B_2_1_3_1,1.0
B_2_1_4_1,1.0
B_2_1_5_1,1.0
B_2_1_6_1,1.0
B_2_1_8_1,1.0
B_2_1_10_1,1.0
B_2_2_4_4,1.0
B_2_2_6_3,1.0
B_2_2_10_2,1.0
B_2_2_10_4,1.0
B_2_3_4_4,1.0
B_2_3_10_4,1.0
B_2_4_6_4,1.0
B_2_4_8_3,1.0
B_2_4_10_4,1.0
B_2_5_6_5,1.0
B_2_5_7_5,1.0
B_2_5_9_5,1.0
B_3_1_4_1,1.0
B_3_1_7_1,1.0
B_3_1_8_1,1.0
B_3_1_10_1,1.0
B_3_2_4_2,1.0
B_3_2_5_4,1.0
B_3_2_6_3,1.0
B_3_2_7_3,1.0
B_3_2_9_3,1.0
B_3_3_5_4,1.0
B_3_3_6_3,1.0
B_3_3_7_4,1.0
B_3_3_8_4,1.0
B_3_3_9_3,1.0
B_3_4_4_4,1.0
B_3_4_7_4,1.0
B_3_4_9_3,1.0
B_3_4_9_4,1.0
B_3_5_4_5,1.0
B_3_5_6_5,1.0
B_3_5_9_5,1.0
B_3_5_10_5,1.0
B_4_1_6_1,1.0
B_4_1_10_1,1.0
B_4_2_5_3,1.0
B_4_2_6_4,1.0
B_4_2_7_3,1.0
B_4_2_8_4,1.0
B_4_2_9_3,1.0
B_4_2_9_4,1.0
B_4_3_7_3,1.0
B_4_3_9_4,1.0
B_4_4_5_3,1.0
B_4_4_9_4,1.0
B_4_4_10_2,1.0
B_4_4_10_4,1.0
B_4_5_6_5,1.0
B_5_1_6_1,1.0
B_5_1_7_1,1.0
B_5_1_10_1,1.0
B_5_2_8_4,1.0
B_5_2_9_3,1.0
B_5_2_9_4,1.0
B_5_3_6_3,1.0
B_5_3_9_3,1.0
B_5_3_9_4,1.0
B_5_3_10_3,1.0
B_5_3_10_4,1.0
B_5_4_7_3,1.0
B_5_5_6_5,1.0
B_5_5_7_5,1.0
B_5_5_8_5,1.0
B_5_5_9_5,1.0
B_5_5_10_5,1.0
B_6_1_8_1,1.0
B_6_1_10_1,1.0
B_6_2_7_4,1.0
B_6_2_9_4,1.0
B_6_2_10_4,1.0
B_6_3_7_2,1.0
B_6_3_7_3,1.0
B_6_3_7_4,1.0
B_6_3_8_4,1.0
B_6_3_10_2,1.0
B_6_3_10_4,1.0
B_6_5_7_5,1.0
B_6_5_10_5,1.0
B_7_1_10_1,1.0
B_7_2_10_3,1.0
B_7_2_10_4,1.0
B_7_3_10_3,1.0
B_7_5_8_5,1.0
B_7_5_10_5,1.0
B_8_1_9_1,1.0
B_8_1_10_1,1.0
B_8_2_9_2,1.0
B_8_2_10_3,1.0
B_8_3_10_3,1.0
B_8_4_10_2,1.0
B_8_5_10_5,1.0
B_9_1_10_1,1.0
B_9_2_10_3,1.0
p_1_1_0,27
p_1_1_1,25
p_1_1_2,14
p_1_1_3,13
p_1_2_4,22
p_1_2_5,14
p_1_2_6,11
p_1_2_7,23
p_1_3_4,27
p_1_3_5,19
p_1_3_6,25
p_1_3_7,17
p_1_3_8,16
p_1_3_9,12
p_1_3_10,12
p_1_3_11,21
p_1_3_12,29
p_1_3_13,29
p_1_3_14,16
p_1_3_15,26
p_1_4_4,18
p_1_4_5,25
p_1_4_6,17
p_1_4_7,15
p_1_4_8,21
p_1_4_9,29
p_1_4_10,23
p_1_4_11,18
p_1_4_12,19
p_1_4_13,19
p_1_4_14,19
p_1_4_15,19
p_1_5_16,26
p_1_5_17,29
p_1_5_18,14
p_1_5_19,21
p_2_1_0,23
p_2_1_1,30
p_2_1_2,29
p_2_1_3,11
p_2_2_4,21
p_2_2_5,10
p_2_2_6,13
p_2_2_7,18
p_2_3_12,17
p_2_3_13,24
p_2_3_14,29
p_2_3_15,16
p_2_4_4,28
p_2_4_5,14
p_2_4_6,27
p_2_4_7,24
p_2_4_8,20
p_2_4_9,29
p_2_4_10,29
p_2_4_11,28
p_2_4_12,27
p_2_4_13,20
p_2_4_14,19
p_2_4_15,21
p_2_5_16,23
p_2_5_17,26
p_2_5_18,25
p_2_5_19,15
p_3_1_0,29
p_3_1_1,27
p_3_1_2,14
p_3_1_3,30
p_3_2_4,21
p_3_2_5,29
p_3_2_6,15
p_3_2_7,16
p_3_2_8,22
p_3_2_9,12
p_3_2_10,25
p_3_2_11,29
p_3_3_4,23
p_3_3_5,28
p_3_3_6,24
p_3_3_7,25
p_3_3_8,16
p_3_3_9,25
p_3_3_10,21
p_3_3_11,26
p_3_3_12,21
p_3_3_13,19
p_3_3_14,30
p_3_3_15,26
p_3_4_4,30
p_3_4_5,12
p_3_4_6,19
p_3_4_7,14
p_3_4_8,30
p_3_4_9,20
p_3_4_10,15
p_3_4_11,11
p_3_4_12,17
p_3_4_13,18
p_3_4_14,29
p_3_4_15,23
p_3_5_16,27
p_3_5_17,22
p_3_5_18,24
p_3_5_19,22
p_4_1_0,23
p_4_1_1,11
p_4_1_2,25
p_4_1_3,21
p_4_2_4,26
p_4_2_5,20
p_4_2_6,14
p_4_2_7,30
p_4_2_8,26
p_4_2_9,13
p_4_2_10,12
p_4_2_11,30
p_4_2_12,15
p_4_2_13,28
p_4_2_14,28
p_4_2_15,29
p_4_3_4,30
p_4_3_5,29
p_4_3_6,15
p_4_3_7,14
p_4_3_12,10
p_4_3_13,25
p_4_3_14,14
p_4_3_15,20
p_4_4_4,15
p_4_4_5,12
p_4_4_6,22
p_4_4_7,13
p_4_4_8,27
p_4_4_9,19
p_4_4_10,26
p_4_4_11,18
p_4_4_12,13
